,id,prompt,answer_before,answer
23,23,"A 42-year-old woman with no personal or family history of breast cancer presents for her annual physical exam. She asks about when she should start breast cancer screening. According to current USPSTF guidelines, what screening recommendation should you provide?",Discuss the benefits and harms of screening mammography and engage in shared decision-making based on the patient's values and preferences.,"Recommend starting biennial screening mammography now, as screening is recommended for all average-risk women starting at age 40."
24,24,"A 45-year-old woman and her 41-year-old sister visit your office together for their annual check-ups. Neither has any breast cancer risk factors. According to current USPSTF guidelines, what screening recommendation should you make for these patients?",Recommend routine screening for the 45-year-old and discuss individual screening options with the 41-year-old.,Recommend routine biennial screening mammography for both women.
25,25,"A 70 kg patient presents with acute pancreatitis. According to current guidelines, what should be the initial fluid bolus volume in mL and subsequent hourly maintenance rate in mL/hour?",Variable depending on institutional protocol,700 mL bolus followed by 105 mL/hour maintenance
26,26,A 45-year-old woman with mild acute pancreatitis has been admitted for 24 hours and is showing clinical improvement. What dietary approach should you recommend?,Begin clear liquid diet and advance as tolerated,Begin low-fat solid diet
27,27,"A 32-year-old woman with HIV has a CD4 count of 150 cells/µL and detectable viral load of 50,000 copies/mL. She reports significant difficulty with daily pill-taking due to severe pill aversion and housing instability. Resistance testing shows no mutations to integrase inhibitors or rilpivirine. She has reliable transportation and access to case management services. According to current guidelines, is this patient a candidate for LA CAB/RPV? Explain why or why not.",No. LA CAB/RPV could not be initiated in patients who are not virologically suppressed.,"Yes. The patient meets all required criteria: she has documented difficulty with oral therapy adherence, high risk for disease progression (CD4 <200 cells/µL), no resistance to the components of LA CAB/RPV, and access to clinical follow-up services."
28,28,"A 45-year-old immunocompetent woman presents with her third episode of C. difficile infection in 6 months. She has completed standard courses of vancomycin for each episode. According to current guidelines, what is the most appropriate next step in management?",No standardized recommendation existed,Fecal microbiota transplantation (FMT) is conditionally recommended
29,29,"A 300-bed community hospital is establishing a new Rapid Response Team (RRT). The team currently consists of critical care nurses and respiratory therapists. Hospital administration is concerned about whether they need to add a physician to meet current SCCM guidelines. Based on current SCCM guidelines, what is the appropriate response regarding physician staffing of the RRT?",Unclear requirements for physician staffing,"The RRT composition is acceptable without a physician member, as SCCM guidelines do not require physician presence on RRTs"
30,30,A 45-year-old HIV-positive patient with cryptococcal meningitis has been on appropriate doses of liposomal amphotericin B and flucytosine for 2 weeks. The patient is clinically improving but repeat CSF testing shows persistent cryptococcal antigen. What is the appropriate next step in management?,Increase the dose of antifungal therapy or add additional antifungal agents,Continue current antifungal regimen without modification as long as clinical improvement is occurring
31,31,"A 45-year-old veteran presents to primary care for routine follow-up. You want to screen for PTSD. Which screening tool should you use, and what score would indicate a positive screen?",Various screening tools could be used based on clinical preference,Use the PC-PTSD-5; a score of 3 or higher indicates a positive screen requiring further assessment
32,32,A 35-year-old woman presents with newly diagnosed PTSD following a motor vehicle accident. She asks about treatment options. What should you recommend as the first-line treatment approach?,Either medication or psychotherapy could be recommended as first-line treatment,"Recommend psychotherapy as the first-line treatment, specifically cognitive processing therapy (CPT), EMDR, or prolonged exposure (PE)"
33,33,"A 35-year-old woman is diagnosed with cerebral venous thrombosis and has completed initial treatment with parenteral heparin. She expresses concern about frequent INR monitoring required with warfarin. According to current guidelines, what is the appropriate oral anticoagulation option(s) you can offer this patient?",Vitamin K antagonist (warfarin) with regular INR monitoring,"Either a vitamin K antagonist (warfarin) or a direct oral anticoagulant (DOAC), based on patient preference and other clinical factors"
34,34,A 28-year-old man presents with severe headache and suspected cortical vein thrombosis. Which specific MRI sequences should you order according to current guidelines?,Standard MRI/MRV protocols without specific sequence recommendations,"Contrast-enhanced MRV, gradient echo, and susceptibility-weighted sequences"
35,35,A 2-month-old healthy infant presents for their first set of vaccinations. Which pneumococcal conjugate vaccine(s) should be administered as part of their routine immunization schedule?,PCV13 should be administered,Either PCV15 or PCV20 should be administered
36,36,"A 6-year-old child with a documented history of severe egg allergy (previous anaphylaxis to egg) presents for annual influenza vaccination. What special precautions, if any, are required for vaccine administration?","Required special precautions based on severity of egg allergy, including possible observation period and administration in specific medical settings",No special precautions required; can receive any appropriate influenza vaccine in routine vaccination settings
37,37,A 65-year-old male achieves ROSC after cardiac arrest but remains unresponsive to commands. The neurologist is discussing EEG monitoring options. What type of EEG monitoring is now considered appropriate according to current AHA guidelines?,Continuous EEG monitoring should be initiated,Spot EEG monitoring is appropriate
38,38,"During a cardiac arrest resuscitation, a team member suggests giving calcium as a ""last-ditch effort."" The patient has no history of hyperkalemia or calcium channel blocker use. According to current AHA guidelines, what is the appropriate response?",Calcium administration could be attempted as a last-resort measure,Calcium administration is not recommended in this situation
39,39,A 28-year-old woman is diagnosed with HIV at 12 weeks gestation. She expresses a strong preference for a single-pill regimen. Which of the following statements best describes the current recommendation regarding bictegravir/FTC/TAF use in this patient?,Bictegravir/FTC/TAF should not be prescribed due to insufficient safety data in pregnancy,Bictegravir/FTC/TAF can be prescribed as an alternative regimen after discussion with the patient
40,40,A 32-year-old pregnant woman is newly diagnosed with HIV at 16 weeks gestation. She has no history of HIV prevention medication use. What is the current recommendation regarding the use of protease inhibitors as initial therapy?,Protease inhibitors would be a preferred option for initial therapy,Protease inhibitors are no longer preferred; dolutegravir-based regimens should be used instead
41,41,A 45-year-old woman with a documented history of egg allergy presents for her annual influenza vaccination. She reports previous allergic reactions to eggs including hives. Only egg-based influenza vaccines are currently available in your clinic. What is the appropriate course of action regarding influenza vaccination?,Defer vaccination until egg-free recombinant vaccine is available or refer to allergist for specialized administration protocol,Proceed with egg-based influenza vaccination as egg allergy is no longer a contraindication
42,42,A 35-year-old man with no documentation of childhood vaccinations and no planned travel to endemic areas presents for routine health maintenance. He has no known exposure risks for polio. What is the recommendation regarding polio vaccination?,No vaccination needed due to lack of exposure risk,Recommend IPV vaccination due to unknown/potentially suboptimal immunity status
43,43,A 58-year-old man with decompensated cirrhosis presents with acute kidney injury and meets diagnostic criteria for hepatorenal syndrome. His oxygen saturation is 98% on room air and he has no history of cardiovascular disease. What is the most appropriate initial vasoactive medication for this patient?,Norepinephrine with ICU admission for monitoring,"Terlipressin through a peripheral line, which can be administered outside the ICU setting"
44,44,A 62-year-old woman with cirrhosis develops hepatorenal syndrome. She has an oxygen saturation of 88% on room air and a history of recent myocardial infarction. Which of the following statements is correct regarding Terlipressin use in this patient?,Not applicable (medication not available),Terlipressin is contraindicated due to hypoxemia and recent cardiac ischemia
45,45,A 45-year-old patient with severe ARDS (PaO2:FiO2 = 80) has been on continuous neuromuscular blockade for 36 hours with good response. What is the maximum additional duration of NMB therapy recommended under current guidelines?,No specific limit; continue based on clinical response,12 hours (to reach maximum 48-hour limit)
46,46,"A 56-year-old patient with moderate ARDS shows areas of atelectasis on chest imaging. The resident suggests performing recruitment maneuvers. According to current guidelines, what is the appropriate response?",Consider recruitment maneuvers based on clinical judgment,Recruitment maneuvers are strongly discouraged and should not be performed
47,47,"A 55-year-old woman with newly diagnosed symptomatic paroxysmal atrial fibrillation and normal left ventricular function is considering treatment options. She has not tried any antiarrhythmic medications. According to current guidelines, which of the following statements about catheter ablation is correct?",Catheter ablation should be considered only after a trial of antiarrhythmic medications,Catheter ablation can be offered as a first-line therapy (Class I recommendation)
48,48,"A 72-year-old man with atrial fibrillation and a history of recurrent gastrointestinal bleeding on anticoagulation (CHA2DS2-VASc score of 4) is being evaluated for stroke prevention. According to current guidelines, what is the recommendation class for left atrial appendage occlusion device placement?",Limited recommendation,Class 2A recommendation
49,49,A healthy 66-year-old woman with no prior pneumococcal vaccination presents for preventive care. Which vaccination schedule should be recommended? Include specific vaccine types and timing if applicable.,"Recommend either PPSV23 with a second dose, or PCV13 followed by PPSV23",Recommend either PCV20 alone or PCV15 followed by PPSV23 given ≥1 year later
50,50,"A 45-year-old man with diabetes who received PPSV23 14 months ago presents for follow-up. What pneumococcal vaccination, if any, should be recommended at this visit?",No specific recommendation available,"Recommend either PCV15 or PCV20 at this visit, as more than 1 year has elapsed since PPSV23"
51,51,A 45-year-old male with catastrophic brain injury is being evaluated for possible brain death. His current body temperature is 35.8°C. What is the appropriate next step in management regarding BD/DNC testing?,Could proceed with testing as no specific temperature threshold was defined,Warm patient to achieve temperature ≥36°C before proceeding with BD/DNC testing
52,52,A 62-year-old female with severe intracranial hemorrhage is being evaluated for brain death. Her current blood pressure is 95/60 mmHg with a mean arterial pressure of 72 mmHg. What is the appropriate next step regarding BD/DNC testing?,Could proceed with testing as no specific blood pressure thresholds were defined,Optimize blood pressure to achieve systolic BP ≥100 mmHg and MAP ≥75 mmHg before proceeding with BD/DNC testing
53,53,"A 58-year-old woman with severe knee osteoarthritis presents with a BMI of 42 kg/m². She has failed conservative therapy, has radiographic evidence of severe OA, and desires surgery. According to current guidelines, what is the appropriate recommendation regarding timing of total knee arthroplasty?",Delay surgery until patient achieves BMI <40 kg/m² through weight loss interventions,Proceed with TJA without delay if shared decision-making discussion has addressed potential risks associated with higher BMI
54,54,"A 3-month-old infant is brought to your clinic for well-child care. The mother has chronic HCV infection. What test should you order at this visit to screen for perinatal HCV infection, and is this the appropriate time for screening?","Would advise waiting until the second year of life to perform anti-HCV antibody testing, as current visit at 3 months is too early for screening.","Should order HCV nucleic acid test (NAT) now, as 3 months falls within the recommended screening window of 2-6 months of age."
55,55,"A 56-year-old man with diabetes presents with a moderate diabetic foot infection in Cairo, Egypt. According to the 2023 IWGDF/IDSA guidelines, should empiric antibiotic coverage include Pseudomonas aeruginosa? (Answer yes/no)",Not specified in previous guidelines,Yes
56,56,"A 62-year-old woman with diabetes presents with a superficial foot infection involving only the skin and soft tissue, showing good response to initial antibiotic therapy. According to the 2023 guidelines, what is the typical recommended duration range for her antibiotic treatment? (Answer in weeks)",Not specified in previous guidelines,1-2 weeks
57,57,"A 6-year-old boy is scheduled for procedural sedation for an MRI scan. The nurse asks about providing supplemental oxygen before sedation. Based on current guidelines, what is the appropriate approach to preoxygenation in this case?","Provider discretion whether to provide preoxygenation, based on institutional practice and individual assessment","Preoxygenation should not be provided, as current guidelines recommend against this practice (Grade 2C recommendation)"
58,58,A 65-year-old healthy woman presents for routine health maintenance. She has never received a pneumococcal vaccine. Which pneumococcal vaccine regimen should be recommended?,PCV20 alone or PCV15 followed by PPSV23,PCV21
59,59,A 45-year-old man with substance use disorder living in Western United States presents for preventive care. He has never received a pneumococcal vaccine. Which pneumococcal vaccine should be recommended?,PCV20 alone or PCV15 followed by PPSV23,PCV20 (or PCV15 followed by PPSV23 if PCV20 is unavailable)
60,60,A 65-year-old woman with HFpEF (EF 45%) has persistent NYHA class II symptoms despite being on optimal doses of furosemide and empagliflozin. She has normal kidney function (eGFR 75 mL/min/1.73m²) and normal potassium levels. What is the most appropriate next step in management?,"Continue current therapy and monitor symptoms, as the role of additional therapies was unclear","Add a mineralocorticoid receptor antagonist (spironolactone, eplerenone, or finerenone) to the current regimen"
61,61,A 45-year-old woman presents to your clinic in September 2024 requesting COVID-19 vaccination. She specifically asks about the Moderna vaccine and which variant it protects against. What should you tell her about the variant targeted by the current Moderna COVID-19 vaccine?,The 2023-2024 Moderna COVID-19 vaccine targets the XBB.1.5 variant.,The 2024-2025 Moderna COVID-19 vaccine targets the KP.2 variant.
62,62,"A 45-year-old male presents to the emergency department after a motor vehicle accident. He has a Glasgow Coma Scale of 8 and requires immediate intubation for airway protection. CT shows diffuse axonal injury. What prophylactic antibiotic regimen, if any, should be administered for VAP prevention?",No prophylactic antibiotics would have been recommended,Administer a single dose of ceftriaxone 2g IV within 12 hours of intubation
63,63,"A 45-year-old woman with BMI of 26 kg/m2 requires midline laparotomy closure following emergency exploratory surgery. Based on current guidelines, what specific suture technique should be used for fascial closure? Include both the suture width and interval in your answer.",Large bite technique with 10 mm suture width and 10 mm interval,Small bite technique with 5 mm suture width and 5 mm interval
64,64,"A 45-year-old woman presents with stage IB1 cervical cancer. MRI shows stromal invasion of 40% depth, and the excisional specimen demonstrates 8 mm invasion. What is the most appropriate surgical management for this patient?",Radical hysterectomy with lymph node assessment,Simple hysterectomy plus lymphadenectomy
65,65,A 72-year-old healthy woman with no significant medical history presents for routine preventive care. She asks about RSV vaccination. What is the most appropriate recommendation regarding RSV vaccination for this patient?,"Discuss risks and benefits of RSV vaccination through shared decision-making process, as vaccination is an option for all adults ≥60 years.","Explain that routine RSV vaccination is not specifically recommended for healthy adults aged 60-74 years, though they may still benefit from vaccination after discussing risks and benefits."
66,66,"A 55-year-old patient with chronic heart failure and diabetes presents inquiring about RSV vaccination. Which RSV vaccine, if any, is approved for use in this patient?",No RSV vaccines were approved for patients under 60 years of age.,Arexvy is approved for this high-risk patient aged 50-59 years.
67,67,"A 28-year-old man who has sex with men presents to your clinic. He reports having been treated for syphilis 6 months ago and continues to have multiple sexual partners. He asks about STI prevention strategies. What pharmacological post-exposure prophylaxis would you recommend, including specific dosing and timing?","No routine post-exposure prophylaxis would have been recommended. Focus on safe sex practices, regular screening, and prompt treatment of diagnosed infections.","Recommend doxycycline 200 mg to be taken within 72 hours after condomless sexual contact, along with continued safe sex practices and regular screening. Discuss potential benefits and risks, including gastrointestinal side effects and antimicrobial resistance concerns."
68,68,A 65-year-old woman with unresectable stage II small cell lung cancer has completed concurrent chemoradiation therapy with no evidence of disease progression on follow-up imaging. What is the recommended next step in management?,Observation with regular follow-up,Initiate consolidation therapy with durvalumab for two years or until progression
69,69,"During a discussion about consolidation therapy options, a patient with limited-stage SCLC asks about the survival benefit of durvalumab after completing concurrent chemoradiation. Based on current evidence, what specific survival data (in months) should you quote?",No established survival benefit data available,Median overall survival of 56 months with durvalumab compared to 33 months without durvalumab
70,70,"A 72-year-old woman taking apixaban for atrial fibrillation presents with acute intracerebral hemorrhage confirmed on CT scan. Her hospital has both andexanet alfa and 4-factor PCC available. According to current guidelines, what is the appropriate approach to anticoagulation reversal in this patient?",Administer andexanet alfa as the preferred reversal agent,"Either andexanet alfa or 4-factor PCC can be administered, with the choice based on the severity of hemorrhage, local protocols, and consideration of the risk-benefit profile (noting that andexanet alfa may provide better hemostasis but carries a higher thrombotic risk)"
71,71,"A 25-year-old female presents with symptoms of uncomplicated urinary tract infection. She has no risk factors for multidrug-resistant organisms but reports a previous allergic reaction to nitrofurantoin. According to current FDA-approved options, is pivmecillinam an appropriate first-line treatment choice for this patient?","No, pivmecillinam was not an FDA-approved option","Yes, pivmecillinam is now an FDA-approved first-line option for acute simple cystitis in adult females"
72,72,"A 30-year-old female is diagnosed with acute uncomplicated cystitis and you decide to prescribe pivmecillinam. What is the complete prescription you would write, including dose, frequency, and duration?",No established US prescription format,Pivmecillinam 185 mg base (200 mg hydrochloride) orally three times daily for 3-7 days
73,73,"A 45-year-old woman with difficult-to-treat asthma undergoes evaluation for ABPA. Her total serum IgE level is 750 IU/mL. Based on the 2024 ISHAM criteria for total serum IgE levels, does this patient meet this diagnostic criterion for ABPA?",No (below 1000 IU/mL threshold),Yes (above 500 IU/mL threshold)
74,74,A 32-year-old man with cystic fibrosis is being evaluated for ABPA. Which diagnostic test should be ordered to assess Aspergillus sensitivity according to current 2024 ISHAM guidelines?,Aspergillus serum precipitins,Aspergillus IgG levels by enzyme immunoassay or lateral flow assay
75,75,"A 14-year-old patient (weight 38 kg) with recent stem cell transplantation is being evaluated for COVID-19 pre-exposure prophylaxis. Based on current guidelines, is this patient eligible for pemivibart? Explain why or why not.",Not applicable (medication not previously authorized),"No, the patient is not eligible. While the patient meets the age requirement (≥12 years) and has an appropriate immunocompromising condition, they do not meet the minimum weight requirement of 40 kg."
76,76,"A 42-year-old woman with a BMI of 34 kg/m² has failed lifestyle interventions and is seeking pharmacologic treatment for weight management. She has no contraindications to medication therapy. According to current guidelines, what would be the most appropriate initial pharmacologic recommendation?",Any FDA-approved weight loss medication based on individual factors,"Either tirzepatide or semaglutide, with the choice between them based on patient preferences and comorbidities"
77,77,"A 38-year-old man with a current weight of 120 kg is considering tirzepatide 15 mg weekly for weight management. Based on clinical trial data, what range of weight loss (in kg) should be discussed as the expected outcome after treatment?",Not applicable (medication not previously available),18-25.2 kg (calculated as 15-21% of 120 kg)
78,78,"A 45-year-old male has been declared brain dead following a severe traumatic brain injury and is being evaluated as a potential organ donor. He is hemodynamically unstable, requiring vasopressor support. The organ procurement team is discussing hormone replacement therapy. Based on current guidelines, what is the recommended approach regarding thyroid hormone administration in this patient?",Administer thyroid hormone as part of the standard hormone replacement protocol for organ donation,"Thyroid hormone administration should be avoided, as it provides no benefit in organ procurement or graft outcomes and increases the risk of hypertension and tachycardia"
79,79,"A 45-year-old woman with severe asthma presents with bronchiectasis and peripheral eosinophilia. Her total serum IgE level is 750 IU/mL, and she has positive Aspergillus-specific IgE. Based on current diagnostic criteria, does this IgE level meet the threshold for ABPA diagnosis?",No - the IgE level of 750 IU/mL would not meet the previous diagnostic threshold of ≥1000 IU/mL,Yes - the IgE level of 750 IU/mL exceeds the current diagnostic threshold of ≥500 IU/mL
80,80,A pulmonologist is evaluating a 35-year-old man with suspected ABPA. Which specific laboratory test should be ordered to assess Aspergillus sensitivity according to current guidelines?,Order Aspergillus serum precipitins,Order Aspergillus IgG levels by enzyme immunoassay or lateral flow assay
81,81,"A 45-year-old male with a Mallampati IV airway, limited neck extension, and thyromental distance <6 cm requires intubation for emergency surgery. Which type of videolaryngoscope blade should be selected as first-line choice to maximize first-attempt success?",Standard Macintosh-style videolaryngoscope blade,"Hyperangulated videolaryngoscope blade (e.g., C-MAC D-blade)"
82,82,A 52-year-old patient is undergoing living donor kidney transplantation. Which intravenous fluid should be selected for intraoperative administration to minimize the risk of delayed graft function?,0.9% Normal saline,Balanced crystalloid solution
83,83,"A 72-year-old woman with HFpEF (EF 55%) has persistent NYHA class II symptoms despite optimal doses of furosemide and empagliflozin. Her blood pressure is 128/76 mmHg, and serum potassium is 4.2 mEq/L. According to current guidelines, what is the most appropriate next medication to add to her regimen?",Continue current therapy and optimize non-pharmacological measures,Add spironolactone or other mineralocorticoid receptor antagonist
84,84,"A 68-year-old man with stable coronary artery disease and atrial fibrillation is currently taking edoxaban for stroke prevention. His last coronary intervention was 3 years ago, and he has been stable since then. According to current guidelines, what is the recommended approach to antiplatelet therapy?",Add aspirin to edoxaban for dual therapy,Continue edoxaban alone without adding aspirin
85,85,A 45-year-old woman with moderate-to-severe plaque psoriasis on adalimumab requires yellow fever vaccination for upcoming travel. What is the appropriate management of her psoriasis therapy?,Variable practice based on individual assessment,Interrupt adalimumab therapy before administering the live yellow fever vaccine
86,86,"A 32-year-old man presents to urgent care with acute urticaria of 6 hours duration, without angioedema or respiratory symptoms. What is the recommended initial treatment?",Combination of antihistamines and systemic glucocorticoids,Nonsedating second-generation antihistamines alone
87,87,"A healthy 65-year-old woman presents for routine preventive care during RSV season. She has no significant medical conditions. According to current guidelines, what is the most appropriate recommendation regarding RSV vaccination?",Recommend RSV vaccination after shared decision-making discussion,Discuss risks and benefits of RSV vaccination but explain that routine vaccination is not strongly recommended given age and absence of risk factors
88,88,A 66-year-old woman with diabetes mellitus presents for routine vaccination. She has no history of substance use disorder and does not live in the Western United States. What specific pneumococcal vaccine should be recommended as first-line?,PCV20 or PCV15 followed by PPSV23,PCV21
89,89,"A 45-year-old male with a Mallampati score of 4, limited neck extension, and thyromental distance <6cm requires urgent intubation. Which type of videolaryngoscope blade should be selected as first-line for this patient with predicted difficult airway?",Either standard Macintosh-style or hyperangulated blade based on provider preference and experience,"Hyperangulated blade (eg, C-MAC D-blade)"
90,90,A 6-year-old child requires procedural sedation for laceration repair in the emergency department. What is the current recommendation regarding oxygen administration before initiating sedation?,Preoxygenation could be provided based on institutional protocol and provider preference,Preoxygenation should not be performed
91,91,A 62-year-old man with type 2 diabetes and center-involved diabetic macular edema has completed initial monthly loading doses of aflibercept with good response. He wishes to minimize the frequency of injections while maintaining efficacy. What is the appropriate maintenance dosing regimen you would recommend?,Aflibercept 2 mg every 8 weeks,Aflibercept 8 mg every 12-16 weeks
92,92,"A 45-year-old woman with type 2 diabetes on empagliflozin presents with nausea, vomiting, and abdominal pain. Her blood glucose is 180 mg/dL, but she has an anion gap metabolic acidosis and positive serum ketones. What is the most likely diagnosis?",Would have required higher glucose to diagnose DKA,Normoglycemic DKA due to SGLT2 inhibitor use
93,93,"A 32-year-old patient with opioid use disorder is being initiated on buprenorphine maintenance therapy. Based on current evidence for reducing overdose mortality, what daily maintenance dose range should be targeted during the first 30 days of treatment?",Maintenance dose of ≤8 mg/day,Maintenance dose of 8-16 mg/day or higher
94,94,A 65-year-old healthy adult presents for routine vaccination. Which of the following pneumococcal vaccination strategies would be appropriate based on current ACIP recommendations?,Either PCV20 alone or PCV15 followed by PPSV23,"Any of the following: PCV21 alone, PCV20 alone, or PCV15 followed by PPSV23"
95,95,"A 70 kg mechanically ventilated patient in the ICU requires enteral nutrition support. Based on current guidelines, what is the appropriate daily protein prescription range in grams? Express your answer as a range in whole numbers.",>105 g/day,70-105 g/day
96,96,"A healthy 65-year-old woman presents for routine preventive care. She has no significant medical conditions. According to current guidelines, what is the appropriate recommendation regarding RSV vaccination?",Discuss RSV vaccination as part of shared decision-making process,RSV vaccination is not routinely recommended due to age and absence of comorbidities
