,id,update_reference_snippet,updated_fact_description,prompt,answer_before,answer
12,12,The 2009 guidelines did not include second- and third-line ASMs or recommendations about folic acid dose due to lack of data. New evidence since then allowed these guidelines to include these newer ASMs.,Previously: No specific folic acid dosage recommendation was provided. Now: A specific recommendation of at least 0.4 mg of folic acid before and during pregnancy is recommended.,What is the minimum recommended daily dose of folic acid supplementation for people with epilepsy of childbearing potential before and during pregnancy?,No specific dosage recommendation (2009 guidelines),At least 0.4 mg daily
13,13,"Avoid VPA and phenobarbital and consider lamotrigine, levetiracetam, or oxcarbazepine in PWECP to minimize risks for MCMs in their offspring.","Previously: Guidelines primarily focused on avoiding valproic acid. Now: Guidelines specifically recommend avoiding both valproic acid and phenobarbital, while recommending lamotrigine, levetiracetam, or oxcarbazepine as preferred alternatives.",Which antiseizure medications are currently recommended as preferred options for people with epilepsy of childbearing potential?,No specific preferred alternatives listed (2009 guidelines),"Lamotrigine, levetiracetam, or oxcarbazepine"
14,14,Demonstrated net benefit requires 26 or more contact hours.,Previously: No specific contact hour requirement was established for behavioral intervention programs. Now: Programs must provide at least 26 contact hours to demonstrate net benefit.,What is the minimum number of contact hours required for behavioral intervention programs to demonstrate net benefit in children with BMI ≥95th percentile?,No specific minimum requirement,26 contact hours
15,15,"Low-dose rivaroxaban, in addition to daily aspirin, is now recommended to decrease the risk for major adverse cardiovascular events (MACEs) and major adverse limb events in patients with symptomatic PAD who are not at increased bleeding risk.",Previously: Single antiplatelet therapy was recommended for PAD patients. Now: Low-dose rivaroxaban plus daily aspirin is recommended for symptomatic PAD patients without increased bleeding risk.,What is the current recommended antithrombotic therapy for patients with symptomatic PAD who are not at increased bleeding risk?,Single antiplatelet therapy,Low-dose rivaroxaban plus daily aspirin
16,16,"In patients with PAD and type 2 diabetes, the use of glucagon-like peptide-1 (GLP-1) agonists and sodium–glucose cotransporter-2 (SGLT-2) inhibitors are effective to reduce MACE.",Previously: No specific recommendation for GLP-1 agonists or SGLT-2 inhibitors in PAD patients with type 2 diabetes. Now: GLP-1 agonists and SGLT-2 inhibitors are recommended to reduce MACE in PAD patients with type 2 diabetes.,Which diabetes medications are currently recommended to reduce major adverse cardiovascular events in patients with both PAD and type 2 diabetes?,Standard diabetes medications without specific recommendation for GLP-1 agonists or SGLT-2 inhibitors,GLP-1 agonists and SGLT-2 inhibitors
17,17,Athletes are placed front and center in this consensus statement. Paternalistic decisions by physicians are a thing of the past.,Previously: Physicians made unilateral decisions about athletes' return to play. Now: Decisions about return to play must involve shared decision-making between the physician and athlete.,"According to current guidelines, who should make the final decision about an athlete's return to play following an arrhythmic event?",The physician alone made the decision.,The decision should be made through shared decision-making between the physician and athlete.
18,18,"Screening should begin with a baseline PSA test between ages 40 and 45. Depending on health status, yearly PSA testing should be considered.",Previously: Black men were included in general population screening guidelines with variable recommendations. Now: Specific recommendation for baseline PSA testing between ages 40-45 with consideration for yearly testing thereafter.,What is the currently recommended age range for initial baseline PSA screening in Black men?,Variable recommendations within general population guidelines,Between ages 40 and 45
19,19,Individuals who have a family history of prostate cancer or high-risk genetic variants should consider starting screening at age 40.,Previously: Variable recommendations for Black men with family history. Now: Specific recommendation to start screening at age 40 for those with family history or high-risk genetic variants.,At what age should PSA screening begin for Black men with a family history of prostate cancer?,Variable recommendations,Age 40
20,20,"After age 70, individuals should discuss with their provider whether to stop screening.",Previously: Variable recommendations for screening cessation in Black men. Now: Specific recommendation to discuss stopping screening after age 70 based on individual factors.,At what age should healthcare providers initiate discussions about stopping PSA screening in Black men?,Variable recommendations,After age 70
21,21,Exercise is now recommended for patients with HCM to remain fit and lower their risk for the metabolic syndrome and many other conditions.,Previously: Exercise was allowed for HCM patients (2020 guideline). Now: Exercise is recommended for HCM patients to maintain fitness and reduce metabolic syndrome risk.,What is the current guideline recommendation regarding exercise for patients with hypertrophic cardiomyopathy (HCM)?,Exercise was allowed but not specifically recommended,Exercise is recommended to maintain fitness and reduce metabolic syndrome risk
22,22,"Cardiac myosin inhibitors are now recommended as part of pharmacotherapy; specifically, mavacamten received FDA approval in April 2022 for treatment of patients with obstructive symptomatic HCM.",Previously: Cardiac myosin inhibitors were not included in treatment recommendations. Now: Mavacamten is recommended for patients with obstructive symptomatic HCM (FDA approved April 2022).,Which cardiac myosin inhibitor is currently FDA-approved for the treatment of obstructive symptomatic HCM?,No cardiac myosin inhibitors were approved,Mavacamten (approved April 2022)
23,23,"For women in their 40s, the USPSTF previously recommended shared decision making about screening but stopped short of formally recommending it; now, they recommend screening all women in this age group.",Previously: Individual decision-making was recommended for women aged 40-49 (Grade C recommendation). Now: Biennial screening is recommended for all average-risk women aged 40-74 (Grade B recommendation).,What is the current USPSTF-recommended screening mammography interval for average-risk women aged 40-49 years?,No specific interval - individual decision-making based on patient preferences and risk factors,Biennial (every 2 years)
24,24,The Task Force now recommends biennial screening for average-risk women who are 40 to 74.,Previously: Routine biennial screening was recommended for women aged 50-74. Now: Routine biennial screening is recommended for women aged 40-74.,What is the current USPSTF-recommended age range for routine biennial breast cancer screening in average-risk women?,50-74 years,40-74 years
25,25,"Moderately aggressive fluid resuscitation with lactated Ringer's solution should be started, defined as a bolus of 10 mL/kg followed by infusion of 1.5 mL/kg/hour",Previously: Fluid resuscitation protocols were variable and often undefined. Now: Specific protocol of 10 mL/kg bolus followed by 1.5 mL/kg/hour infusion of lactated Ringer's solution.,What is the current recommended initial fluid resuscitation protocol for acute pancreatitis in terms of bolus volume (in mL/kg) and subsequent hourly infusion rate (in mL/kg/hour)?,Variable/undefined protocols,10 mL/kg bolus followed by 1.5 mL/kg/hour infusion
26,26,Early oral feeding (within 24–48 hours) should begin with a low-fat solid diet (as opposed to liquid) for patients with mild AP.,Previously: Early feeding typically began with clear liquids. Now: Early feeding should begin with low-fat solid diet within 24-48 hours for mild acute pancreatitis.,What is the current recommended initial diet type and timing for patients with mild acute pancreatitis?,Clear liquid diet,Low-fat solid diet within 24-48 hours
27,27,Newly revised recommendations support initiation of long-acting injectable cabotegravir/rilpivirine (LA CAB/RPV) for selected PWH who are not virologically suppressed.,"Previously: LA CAB/RPV was only recommended for virologically suppressed patients with HIV. Now: LA CAB/RPV can be initiated in non-virologically suppressed patients who meet specific criteria: inability to take oral ART consistently despite support, CD4 <200 cells/µL or history of AIDS-defining illness, no known resistance mutations to CAB or RPV, and access to intensive clinical follow-up.",What are the current eligibility criteria for initiating LA CAB/RPV in non-virologically suppressed patients with HIV? List all required criteria.,LA CAB/RPV was not indicated for non-virologically suppressed patients.,"All of the following criteria must be met:
1. Inability to take oral ART consistently despite optimal clinical support
2. High risk for HIV disease progression (CD4 <200 cells/µL or history of AIDS-defining illness)
3. No known resistance mutations to CAB or RPV
4. Access to intensive clinical follow-up and case management"
28,28,"FMT is recommended conditionally for the following: To prevent recurrence in immunocompetent and mildly or moderately immunocompromised adults with a second recurrence (third episode) of C. difficile after completion of standard-of-care antibiotic therapy (e.g., vancomycin, fidaxomicin).",New guideline establishes conditional recommendation for FMT in immunocompetent and mildly/moderately immunocompromised adults with second recurrence of C. difficile after standard antibiotic therapy.,After how many episodes of C. difficile infection is FMT now conditionally recommended in immunocompetent and mildly/moderately immunocompromised adults who have completed standard antibiotic therapy?,No specific recommendation existed,After the second recurrence (third episode)
29,29,The SCCM makes no recommendation about whether a physician must be part of the hospital RRT.,Previously: No clear guideline on physician requirement in RRTs. Now: SCCM explicitly states no requirement for physician presence on RRTs.,"According to current SCCM guidelines, is a physician required to be part of the hospital Rapid Response Team (RRT)?",No clear guideline existed,"No, a physician is not required to be part of the RRT"
30,30,Antifungal therapy should not be escalated for persistent presence of cryptococcal antigen in blood or cerebrospinal fluid.,Previously: Antifungal therapy was often escalated when cryptococcal antigen persisted in blood or CSF. Now: Guidelines explicitly recommend against escalating antifungal therapy based solely on persistent cryptococcal antigen.,"According to current guidelines, what is the appropriate response to persistent cryptococcal antigen in blood or CSF in a clinically stable patient on appropriate antifungal therapy?",Escalate antifungal therapy,Continue current antifungal regimen without escalation
31,31,A 5-item tool (the PC-PTSD-5) is recommended for primary care screening... a cutoff score of 3 or 4 appears to optimize sensitivity and specificity,Previously: No specific screening tool was standardized for primary care. Now: PC-PTSD-5 with a cutoff score of 3-4 is recommended for primary care screening.,"What is the currently recommended screening tool for PTSD in primary care, and what is its optimal cutoff score range?",No standardized tool specified,PC-PTSD-5 with a cutoff score of 3-4
32,32,"Psychotherapies are recommended over pharmacotherapy due to greater efficacy, fewer adverse effects, and patient greater preference",Previously: No clear hierarchy between psychotherapy and pharmacotherapy was established. Now: Psychotherapies are explicitly recommended as first-line treatment over pharmacotherapy.,What is the current first-line treatment recommendation for PTSD?,Either psychotherapy or pharmacotherapy could be first-line,Psychotherapy is recommended over pharmacotherapy as first-line treatment
33,33,Direct oral anticoagulants (DOACs) appear to be a safe and effective alternative to vitamin K antagonists.,Previously: Vitamin K antagonists were the only oral anticoagulation option after initial parenteral heparin. Now: DOACs are considered a safe and effective alternative to vitamin K antagonists.,What are the current recommended oral anticoagulation options for maintenance therapy in cerebral venous thrombosis after initial parenteral heparin?,Vitamin K antagonists only,Either vitamin K antagonists or direct oral anticoagulants (DOACs)
34,34,"Contrast-enhanced MRV, gradient echo, and susceptibility-weighted sequences are recommended for cortical vein thrombosis diagnosis.","Previously: Specific MRI sequences for cortical vein thrombosis were not explicitly recommended. Now: Contrast-enhanced MRV, gradient echo, and susceptibility-weighted sequences are specifically recommended for cortical vein thrombosis diagnosis.",What are the current recommended MRI sequences for diagnosing cortical vein thrombosis?,Not specifically defined in previous guidelines,"Contrast-enhanced MRV, gradient echo, and susceptibility-weighted sequences"
35,35,13-valent pneumococcal vaccine (PCV13); replaced with PCV15 and PCV20 for routine use,Previously: PCV13 was the standard pneumococcal vaccine for routine use. Now: PCV15 and PCV20 have replaced PCV13 for routine use.,What is/are the currently recommended pneumococcal conjugate vaccine(s) for routine use in children?,PCV13 (13-valent pneumococcal conjugate vaccine),PCV15 and PCV20 (15-valent and 20-valent pneumococcal conjugate vaccines)
36,36,Influenza: Persons with egg allergy of any severity can receive any appropriate influenza vaccine without special considerations.,Previously: Special considerations were required for influenza vaccination in persons with egg allergies. Now: Any appropriate influenza vaccine can be given without special considerations regardless of egg allergy severity.,What precautions are currently required when administering influenza vaccine to patients with severe egg allergies?,Special considerations and precautions were required based on allergy severity,No special considerations are required; any appropriate influenza vaccine can be administered
37,37,"Spot electroencephalography (EEG), rather than continuous EEG, can be performed in post–cardiac arrest patients who are unable to follow commands.",Previously: Continuous EEG monitoring was standard for post-cardiac arrest patients unable to follow commands. Now: Spot EEG monitoring is considered acceptable.,What is the current recommended type of EEG monitoring for post-cardiac arrest patients who cannot follow commands?,Continuous EEG monitoring,Spot EEG monitoring is acceptable
38,38,The AHA committee recommends against routinely administering calcium for cardiac arrest.,"Previously: Calcium administration was commonly used as a ""last-ditch"" effort in cardiac arrest. Now: Routine calcium administration is specifically recommended against except in special circumstances (hyperkalemia or calcium-channel blocker overdose).","According to current AHA guidelines, what is the recommendation regarding routine calcium administration during cardiac arrest?",No specific recommendation against routine use,Routine administration is not recommended except in specific circumstances (hyperkalemia or calcium-channel blocker overdose)
39,39,Bictegravir/FTC/TAF is now considered an alternative for initial therapy. This upgrade is based on small studies that suggest bictegravir is safe during pregnancy and reaches levels anticipated to suppress HIV.,Previously: Bictegravir/FTC/TAF was not recommended during pregnancy due to insufficient data. Now: Bictegravir/FTC/TAF is considered an alternative option for initial therapy during pregnancy.,What is the current status of bictegravir/FTC/TAF for initial HIV therapy during pregnancy?,Not recommended due to insufficient data,Alternative option for initial therapy
40,40,"Protease inhibitors are no longer preferred for most pregnant people. Because of concerns about integrase inhibitor resistance in people who have received long-acting injectable cabotegravir for preexposure prophylaxis, ritonavir-boosted darunavir plus dual NRTIs is recommended in this setting.",Previously: Protease inhibitors (including ritonavir-boosted darunavir) were preferred options for HIV treatment during pregnancy. Now: Protease inhibitors are no longer preferred except in specific situations such as previous exposure to long-acting injectable cabotegravir.,What is the current status of protease inhibitors for initial HIV therapy during pregnancy in patients without prior exposure to long-acting injectable cabotegravir?,Preferred option,No longer preferred
41,41,"Influenza vaccine guidelines have been updated to formally eliminate the obsolete concern about egg allergy. Although egg-free recombinant options are available, preparations manufactured with eggs are safe for all users.","Previously: Egg allergy was a consideration in influenza vaccine administration with egg-based preparations. Now: Egg allergy is no longer a contraindication for any influenza vaccine preparations, including egg-based vaccines.",Is egg allergy a contraindication for egg-based influenza vaccine administration?,"Yes, egg allergy was considered a contraindication for egg-based influenza vaccines","No, egg allergy is not a contraindication for any influenza vaccine preparations"
42,42,"Polio vaccination with the inactivated product now is recommended for all adults whose immunity is known or suspected to be suboptimal, not just for those at a high risk for exposure.","Previously: Polio vaccination was recommended only for adults at high risk for exposure. Now: Polio vaccination is recommended for all adults with known or suspected suboptimal immunity, regardless of exposure risk.",What is the current indication for adult polio vaccination with inactivated polio vaccine (IPV)?,Adults at high risk for exposure only,"All adults with known or suspected suboptimal immunity, regardless of exposure risk"
43,43,"Terlipressin, which can be given through a peripheral line and does not require intensive care monitoring, is the preferred vasoactive drug for HRS; use of concurrent albumin can be considered when accounting for patient's volume status.","Previously: Terlipressin was not available as a treatment option for HRS in the United States. Now: Terlipressin is the preferred vasoactive drug for HRS, administered through peripheral line without requiring ICU monitoring.",What is the current preferred vasoactive drug for treating hepatorenal syndrome (HRS) according to the 2024 AGA guidelines?,Norepinephrine or other vasopressors were used as primary options,Terlipressin is the preferred vasoactive drug
44,44,"Terlipressin use is contraindicated in patients with hypoxemia and in patients with ongoing coronary, peripheral, or mesenteric ischemia.","Previously: Contraindications for Terlipressin were not established in U.S. practice. Now: Terlipressin is specifically contraindicated in patients with hypoxemia and ongoing coronary, peripheral, or mesenteric ischemia.",What are the absolute contraindications for Terlipressin use in patients with hepatorenal syndrome according to current guidelines?,Not applicable (medication not available),"Hypoxemia and ongoing coronary, peripheral, or mesenteric ischemia"
45,45,Neuromuscular blockade (NMB) is recommended in early treatment of patients with severe ARDS (partial pressure of oxygen [PaO2]:fraction of inspired oxygen [FiO2] <100) and courses should be limited to 48 hours or shorter.,Previously: No specific duration limit for NMB in ARDS was provided in the 2017 guideline. Now: NMB courses should be limited to 48 hours or shorter.,What is the maximum recommended duration for neuromuscular blockade in severe ARDS patients?,No specific duration limit specified,48 hours
46,46,"Recruitment maneuvers (i.e., short duration holds of higher inspiratory pressure, designed to open atelectatic alveoli) are strongly discouraged.",Previously: No specific recommendation against recruitment maneuvers in the 2017 guideline. Now: Recruitment maneuvers are strongly discouraged.,What is the current recommendation regarding the use of recruitment maneuvers in ARDS patients?,No specific recommendation,Strongly discouraged
47,47,Performing ablation without first trying antiarrhythmic drugs is now strongly recommended (Class I).,Previously: Ablation was recommended only after trying antiarrhythmic drugs. Now: Ablation is recommended as a potential first-line therapy (Class I recommendation).,"What is the current recommendation class (I, IIa, IIb, or III) for catheter ablation as first-line therapy in atrial fibrillation before trying antiarrhythmic drugs?",Not specified as first-line therapy,Class I
48,48,Left atrial appendage occlusion devices is now more broadly recommended. It was upgraded to a Class 2A recommendation in those with a contraindication to anticoagulation and to a Class 2B recommendation in those who wish to avoid anticoagulation.,Previously: Left atrial appendage occlusion devices had more limited recommendations. Now: Class 2A recommendation for contraindication to anticoagulation and Class 2B for those who wish to avoid anticoagulation.,What is the current recommendation class for left atrial appendage occlusion devices in patients with contraindications to anticoagulation?,Lower than Class 2A,Class 2A
49,49,Previous guidelines in 2021 recommended use of PPSV23 alone (2 doses) or PCV13 followed by PPSV23.,Previously: Adults were recommended to receive either PPSV23 alone (2 doses) or PCV13 followed by PPSV23. Now: Adults should receive either PCV20 alone or PCV15 followed by PPSV23 given ≥1 year later.,What is the current recommended pneumococcal vaccination schedule for vaccine-naive adults aged ≥65 years?,Either PPSV23 alone (2 doses) or PCV13 followed by PPSV23,Either PCV20 alone or PCV15 followed by PPSV23 given ≥1 year later
50,50,Adults aged 19–64 with underlying medical conditions who have received only one dose of PPSV23 should receive either PCV15 or PCV20 at least 1 year after their PPSV23 vaccination.,Previously: No specific guidance for adults with prior PPSV23 vaccination. Now: Adults aged 19-64 with underlying conditions who received PPSV23 should get either PCV15 or PCV20 at least 1 year after PPSV23.,What is the current recommended pneumococcal vaccination for adults aged 19-64 with underlying conditions who have previously received one dose of PPSV23?,Not specifically addressed in previous guidelines,Either PCV15 or PCV20 at least 1 year after their PPSV23 vaccination
51,51,"A temperature ≥36°C in all patients and systolic blood pressure and mean arterial pressure ≥100 and 75 mm Hg, respectively, should be achieved in adult patients, including those on extracorporeal membrane oxygenation.",Previously: No specific temperature threshold was defined for BD/DNC testing. Now: A minimum temperature of ≥36°C must be achieved in all patients before BD/DNC testing.,What is the minimum required body temperature (in degrees Celsius) before proceeding with brain death/death by neurologic criteria (BD/DNC) testing?,Not specifically defined,≥36°C
52,52,"A temperature ≥36°C in all patients and systolic blood pressure and mean arterial pressure ≥100 and 75 mm Hg, respectively, should be achieved in adult patients, including those on extracorporeal membrane oxygenation.",Previously: No specific blood pressure thresholds were defined for BD/DNC testing. Now: Systolic blood pressure must be ≥100 mmHg and mean arterial pressure must be ≥75 mmHg in adult patients.,What are the minimum required blood pressure values (in mmHg) before proceeding with brain death/death by neurologic criteria (BD/DNC) testing in adults?,Not specifically defined,Systolic blood pressure ≥100 mmHg AND mean arterial pressure ≥75 mmHg
53,53,"For patients with obesity, they conditionally recommend proceeding to TJA without delay, regardless of BMI.",Previously: Many institutions and surgeons required specific BMI thresholds (typically <40 kg/m²) before proceeding with TJA. Now: The guideline conditionally recommends proceeding with TJA regardless of BMI when other criteria are met.,"According to current guidelines, should total joint arthroplasty be delayed based on a specific BMI threshold?","Yes, TJA should be delayed until patient achieves BMI below institutional threshold (typically <40 kg/m²)","No, TJA should not be delayed based on BMI alone when other criteria for surgery are met"
54,54,Previous screening recommendations for infants perinatally exposed to HCV relied on anti-HCV antibody testing during the second postnatal year. The availability of highly sensitive and specific HCV NATs now allows for earlier testing of exposed infants. NAT screening can rule out perinatal infection as early as age 2 months,Previously: HCV screening for perinatally exposed infants was done using anti-HCV antibody testing during the second postnatal year. Now: HCV screening should be done using nucleic acid testing (NAT) at age 2-6 months.,What is the recommended initial screening test and timing for infants with perinatal exposure to HCV?,Anti-HCV antibody test during the second year of life (12-24 months),Nucleic acid test (NAT) at age 2-6 months
55,55,Empiric coverage of Pseudomonas aeruginosa is suggested for those living in Asia or North Africa.,"The guidelines now specify geographic-based differences in empiric coverage, with Pseudomonas aeruginosa coverage recommended specifically for patients in Asia or North Africa.",For which geographic regions does the 2023 IWGDF/IDSA guideline specifically recommend empiric coverage of Pseudomonas aeruginosa in diabetic foot infections?,Not specified in previous guidelines,Asia and North Africa
56,56,"For DFI involving skin and soft tissue, treatment duration is typically 1–2 weeks (up to 4 weeks if improvement is slow).","The guidelines now specify precise treatment durations for skin and soft tissue DFI: 1-2 weeks standard duration, with extension up to 4 weeks if improvement is slow.",What is the recommended standard duration range (in weeks) for antibiotic treatment of diabetic foot infections involving only skin and soft tissue according to the 2023 IWGDF/IDSA guidelines?,Not specified in previous guidelines,1-2 weeks
57,57,"For children undergoing procedural sedation, we suggest against the use of preoxygenation (Grade 2C).","Previously: Preoxygenation was variably used across institutions, with 51% of pediatric procedural sedations including preoxygenation. Now: Preoxygenation is specifically recommended against (Grade 2C) for pediatric procedural sedation.","What is the current recommendation regarding preoxygenation before pediatric procedural sedation, and what is its grade of evidence?",No standardized recommendation; practice varied by institution with 51% utilizing preoxygenation,Recommendation against preoxygenation (Grade 2C)
58,58,"For choice of vaccine in patients who have not received prior pneumococcal vaccines, we suggest PCV21 (Grade 2C) rather than PCV20 alone or PCV15 followed by PPSV23.",Previously: PCV20 alone or PCV15 followed by PPSV23 were the preferred options for pneumococcal vaccination. Now: PCV21 is suggested as the preferred option for most adults requiring pneumococcal vaccination.,What is the current first-line recommended pneumococcal vaccine for immunocompetent adults who have not received prior pneumococcal vaccination?,PCV20 alone or PCV15 followed by PPSV23,PCV21
59,59,"However, for individuals at increased risk for serotype 4 infection (eg, residents of Navajo nation or individuals residing in the Western United States and Canada who have substance use disorder or experience homelessness), we prefer to administer PCV20 (or PCV15 followed by PPSV23 if PCV20 is not available) rather than PCV21",Previously: No specific recommendations based on serotype 4 risk. Now: PCV20 (or PCV15+PPSV23) is preferred over PCV21 for individuals at increased risk for serotype 4 infection.,Which pneumococcal vaccine is currently recommended for residents of the Navajo nation who have not received prior pneumococcal vaccination?,PCV20 alone or PCV15 followed by PPSV23,PCV20 (or PCV15 followed by PPSV23 if PCV20 is unavailable)
60,60,"In patients with HFpEF receiving optimal therapy with a diuretic and a sodium-glucose co-transporter 2 inhibitor with or without semaglutide who have persistent NYHA class II to III heart failure symptoms, we suggest adding a mineralocorticoid receptor agonist (MRA)","Previously: The role of MRA in HFpEF treatment was unclear with controversial evidence. Now: MRA therapy is recommended for HFpEF patients who meet specific criteria: receiving optimal therapy with a diuretic and SGLT2 inhibitor (±semaglutide), have NYHA class II-III symptoms, low hyperkalemia risk, and intact kidney function.",What is the current recommendation for MRA use in HFpEF patients with NYHA class II-III symptoms who are on optimal therapy with a diuretic and SGLT2 inhibitor?,"Role unclear, no specific recommendation",Addition of MRA therapy is recommended if patients have low hyperkalemia risk and intact kidney function
61,61,"The 2023-2024 formula COVID-19 vaccines that were released in 2023 targeted the XBB.1.5 variant and were less effective against the variants that emerged in mid-2024. In August 2024, the US Food and Drug Administration approved or authorized 2024-2025 formula COVID-19 vaccines, which were updated to target more recently circulating variants; the Moderna and Pfizer COVID-19 vaccines target the KP.2 variant, and the Novavax COVID-19 vaccine targets JN.1 variant","Previously: COVID-19 vaccines targeted the XBB.1.5 variant (2023-2024 formula)
Now: Moderna and Pfizer vaccines target the KP.2 variant, while Novavax targets the JN.1 variant (2024-2025 formula)",Which SARS-CoV-2 variant is targeted by the 2024-2025 Moderna and Pfizer COVID-19 vaccines?,XBB.1.5 variant,KP.2 variant
